Overall Performance
Accuracy: 0.58
Macro Avg: Precision = 0.59 | Recall = 0.51 | F1 = 0.51
Weighted Avg: Precision = 0.58 | Recall = 0.58 | F1 = 0.57
Total Samples: 24,421


| Class | Style                        | Precision | Recall | F1-score | Support |
| ----- | ---------------------------- | --------- | ------ | -------- | ------- |
| 0     | Abstract Expressionism       | 0.56      | 0.57   | 0.57     | 834     |
| 1     | Action Painting              | 1.00      | 0.03   | 0.07     | 29      |
| 2     | Analytical Cubism            | 0.52      | 0.52   | 0.52     | 33      |
| 3     | Art Nouveau                  | 0.58      | 0.57   | 0.57     | 1300    |
| 4     | Baroque                      | 0.58      | 0.71   | 0.64     | 1272    |
| 5     | Color Field Painting         | 0.70      | 0.70   | 0.70     | 484     |
| 6     | Contemporary Realism         | 0.42      | 0.19   | 0.26     | 144     |
| 7     | Cubism                       | 0.66      | 0.43   | 0.52     | 670     |
| 8     | Early Renaissance            | 0.69      | 0.59   | 0.64     | 417     |
| 9     | Expressionism                | 0.59      | 0.31   | 0.41     | 2020    |
| 10    | Fauvism                      | 0.37      | 0.35   | 0.36     | 280     |
| 11    | High Renaissance             | 0.49      | 0.36   | 0.42     | 402     |
| 12    | Impressionism                | 0.63      | 0.78   | 0.70     | 3918    |
| 13    | Mannerism (Late Renaissance) | 0.48      | 0.33   | 0.39     | 383     |
| 14    | Minimalism                   | 0.62      | 0.76   | 0.68     | 401     |
| 15    | Naive Art (Primitivism)      | 0.64      | 0.56   | 0.60     | 721     |
| 16    | New Realism                  | 0.55      | 0.06   | 0.11     | 94      |
| 17    | Northern Renaissance         | 0.69      | 0.69   | 0.69     | 765     |
| 18    | Pointillism                  | 0.64      | 0.71   | 0.67     | 153     |
| 19    | Pop Art                      | 0.42      | 0.63   | 0.51     | 444     |
| 20    | Post-Impressionism           | 0.47      | 0.41   | 0.44     | 1935    |
| 21    | Realism                      | 0.54      | 0.64   | 0.59     | 3219    |
| 22    | Rococo                       | 0.77      | 0.35   | 0.48     | 626     |
| 23    | Romanticism                  | 0.52      | 0.62   | 0.57     | 2105    |
| 24    | Symbolism                    | 0.54      | 0.49   | 0.51     | 1358    |
| 25    | Synthetic Cubism             | 0.43      | 0.41   | 0.42     | 64      |
| 26    | Ukiyo-e                      | 0.89      | 0.88   | 0.89     | 350     |
